subjectName,courseType,maxCount,groupNumber,teacher,teacherMailAddress,isOnline,weekAB,dayOfWeek,startTime,studentName,studentIndex
Architektura komputerów,W,1440,,Kitowski Jacek,kito@agh.edu.pl,Zdalnie,,Wt,08:00,,
Inżynieria oprogramowania,W,1440,,Dajda Jacek,dajda@agh.edu.pl,Zdalnie,,Cz,08:00,,
Inżynieria oprogramowania,P,15,2,Idzik Michał,miidzik@agh.edu.pl,Zdalnie,,Sr,16:15,Żeberko Gerwazy,123465
Inżynieria oprogramowania,P,15,2,Idzik Michał,miidzik@agh.edu.pl,Zdalnie,,Sr,16:15,Grosik Orlando,123645
Inżynieria oprogramowania,P,15,2,Idzik Michał,miidzik@agh.edu.pl,Zdalnie,,Sr,16:15,Lotnik Marcelina,123654
Inżynieria oprogramowania,P,15,2,Idzik Michał,miidzik@agh.edu.pl,Zdalnie,,Sr,16:15,Probówka Maurycy,612345
Inżynieria oprogramowania,P,15,2,Idzik Michał,miidzik@agh.edu.pl,Zdalnie,,Sr,16:15,Elegant Rupert,765432
Inżynieria oprogramowania,P,15,3,Idzik Michał,miidzik@agh.edu.pl,Zdalnie,,Sr,17:50,Dalej Tekla,876543
Inżynieria oprogramowania,P,15,3,Idzik Michał,miidzik@agh.edu.pl,Zdalnie,,Sr,17:50,Miguel Zosia,261373
Inżynieria oprogramowania,P,15,4,Idzik Michał,miidzik@agh.edu.pl,Zdalnie,,Pn,16:15,Brutal Monika,295454
Inżynieria oprogramowania,P,15,4,Idzik Michał,miidzik@agh.edu.pl,Zdalnie,,Pn,16:15,Śmieszek Melisa,797955
Inżynieria oprogramowania,P,15,4,Idzik Michał,miidzik@agh.edu.pl,Zdalnie,,Pn,16:15,Siodełko Kazimierz,313414
Inżynieria oprogramowania,P,15,4,Idzik Michał,miidzik@agh.edu.pl,Zdalnie,,Pn,16:15,Kwiatek Brandon,222999
Inżynieria oprogramowania,P,15,6,Pełech-Pilichowski Tomasz,tomek@agh.edu.pl,Zdalnie,,Sr,14:40,Wystrzał Beniamin,232595
Inżynieria oprogramowania,P,15,6,Pełech-Pilichowski Tomasz,tomek@agh.edu.pl,Zdalnie,,Sr,14:40,Miastowiec Bronisław,243777
Inżynieria oprogramowania,P,15,6,Pełech-Pilichowski Tomasz,tomek@agh.edu.pl,Zdalnie,,Sr,14:40,Kostur Jolanta,273818
Inżynieria oprogramowania,P,15,6,Pełech-Pilichowski Tomasz,tomek@agh.edu.pl,Zdalnie,,Sr,14:40,Gonzaga Celina,514313
Inżynieria oprogramowania,P,15,6,Pełech-Pilichowski Tomasz,tomek@agh.edu.pl,Zdalnie,,Sr,14:40,Panicz Marlena,290092
Inżynieria oprogramowania,P,15,6,Pełech-Pilichowski Tomasz,tomek@agh.edu.pl,Zdalnie,,Sr,14:40,Siodełko Janina,280680
Inżynieria oprogramowania,P,15,7,Pełech-Pilichowski Tomasz,tomek@agh.edu.pl,Zdalnie,,Czw,14:40,Słomka Marta,123456
